ID,Title,Category,Details,Cost_USD,Quality_Material,Quality_Durability_Rating_1to5,Warranty_Months,Sustainability_CO2_kg
269,Generic Brand Noise-Canceling Headphones — Minimal (aluminum chassis),Gadgets,"Noise-Canceling Headphones in Minimal finish. Material: aluminum chassis. Designed for practical, everyday use with improved ergonomics and reliability.",647.01,aluminum chassis,4,0,205.5
270,Generic Brand Fitness Tracker — Urban (magnesium alloy),Gadgets,"Fitness Tracker in Urban finish. Material: magnesium alloy. Designed for practical, everyday use with improved ergonomics and reliability.",303.4,magnesium alloy,3,6,116.6
271,Generic Brand E-ink Planner Tablet — Eco (PC+ABS blend),Gadgets,"E-ink Planner Tablet in Eco finish. Material: PC+ABS blend. Designed for practical, everyday use with improved ergonomics and reliability.",347.52,PC+ABS blend,4,0,65.3
272,Generic Brand Portable Projector — Studio (ABS plastic),Gadgets,"Portable Projector in Studio finish. Material: ABS plastic. Designed for practical, everyday use with improved ergonomics and reliability.",215.02,ABS plastic,3,0,74.7
273,Generic Brand Robot Vacuum — Studio (ABS plastic),Gadgets,"Robot Vacuum in Studio finish. Material: ABS plastic. Designed for practical, everyday use with improved ergonomics and reliability.",198.31,ABS plastic,3,18,297.3
274,Generic Brand Bluetooth Speaker — Studio (magnesium alloy),Gadgets,"Bluetooth Speaker in Studio finish. Material: magnesium alloy. Designed for practical, everyday use with improved ergonomics and reliability.",798.79,magnesium alloy,5,0,61.2
275,Generic Brand Smart Home Hub — Heritage (aluminum chassis),Gadgets,"Smart Home Hub in Heritage finish. Material: aluminum chassis. Designed for practical, everyday use with improved ergonomics and reliability.",258.99,aluminum chassis,3,0,148.7
276,Generic Brand Wi-Fi Mesh Router — Premium (magnesium alloy),Gadgets,"Wi-Fi Mesh Router in Premium finish. Material: magnesium alloy. Designed for practical, everyday use with improved ergonomics and reliability.",254.09,magnesium alloy,4,24,126.8
277,Generic Brand USB-C Power Bank — Studio (aluminum chassis),Gadgets,"USB-C Power Bank in Studio finish. Material: aluminum chassis. Designed for practical, everyday use with improved ergonomics and reliability.",406.25,aluminum chassis,3,36,251.1
278,Generic Brand External SSD — Eco (bioplastic shell),Gadgets,"External SSD in Eco finish. Material: bioplastic shell. Designed for practical, everyday use with improved ergonomics and reliability.",265.92,bioplastic shell,4,18,183.8
279,Generic Brand Thermal Label Printer — Studio (stainless steel),Gadgets,"Thermal Label Printer in Studio finish. Material: stainless steel. Designed for practical, everyday use with improved ergonomics and reliability.",926.98,stainless steel,3,36,68.0
280,Generic Brand USB-C Docking Hub — Performance (stainless steel),Gadgets,"USB-C Docking Hub in Performance finish. Material: stainless steel. Designed for practical, everyday use with improved ergonomics and reliability.",199.93,stainless steel,5,0,173.6
281,Generic Brand Mechanical Keyboard — Soft (magnesium alloy),Gadgets,"Mechanical Keyboard in Soft finish. Material: magnesium alloy. Designed for practical, everyday use with improved ergonomics and reliability.",401.77,magnesium alloy,3,24,286.4
282,Generic Brand Ergonomic Mouse — Soft (bioplastic shell),Gadgets,"Ergonomic Mouse in Soft finish. Material: bioplastic shell. Designed for practical, everyday use with improved ergonomics and reliability.",814.12,bioplastic shell,5,36,76.8
283,Generic Brand HD Webcam — Eco (aluminum chassis),Gadgets,"HD Webcam in Eco finish. Material: aluminum chassis. Designed for practical, everyday use with improved ergonomics and reliability.",167.04,aluminum chassis,3,12,241.6
284,Generic Brand USB Studio Microphone — Minimal (bioplastic shell),Gadgets,"USB Studio Microphone in Minimal finish. Material: bioplastic shell. Designed for practical, everyday use with improved ergonomics and reliability.",808.12,bioplastic shell,3,6,63.3
285,Generic Brand Ring Light — Urban (bioplastic shell),Gadgets,"Ring Light in Urban finish. Material: bioplastic shell. Designed for practical, everyday use with improved ergonomics and reliability.",305.18,bioplastic shell,5,36,59.6
286,Generic Brand Monitor Light Bar — Eco (stainless steel),Gadgets,"Monitor Light Bar in Eco finish. Material: stainless steel. Designed for practical, everyday use with improved ergonomics and reliability.",390.62,stainless steel,4,12,210.4
287,Generic Brand Indoor Security Camera — Minimal (recycled aluminum),Gadgets,"Indoor Security Camera in Minimal finish. Material: recycled aluminum. Designed for practical, everyday use with improved ergonomics and reliability.",317.61,recycled aluminum,3,6,143.5
288,Generic Brand Smart Thermostat — Urban (bioplastic shell),Gadgets,"Smart Thermostat in Urban finish. Material: bioplastic shell. Designed for practical, everyday use with improved ergonomics and reliability.",39.01,bioplastic shell,5,0,179.9
289,Generic Brand Video Doorbell — Studio (aluminum chassis),Gadgets,"Video Doorbell in Studio finish. Material: aluminum chassis. Designed for practical, everyday use with improved ergonomics and reliability.",562.16,aluminum chassis,4,36,126.0
290,Generic Brand Smart Lock — Performance (recycled aluminum),Gadgets,"Smart Lock in Performance finish. Material: recycled aluminum. Designed for practical, everyday use with improved ergonomics and reliability.",616.43,recycled aluminum,3,6,75.7
291,Generic Brand Smart Plug Set — Urban (magnesium alloy),Gadgets,"Smart Plug Set in Urban finish. Material: magnesium alloy. Designed for practical, everyday use with improved ergonomics and reliability.",825.69,magnesium alloy,5,0,208.7
292,Generic Brand Smart LED Bulbs — Bold (stainless steel),Gadgets,"Smart LED Bulbs in Bold finish. Material: stainless steel. Designed for practical, everyday use with improved ergonomics and reliability.",706.58,stainless steel,3,24,77.0
293,Generic Brand Smart Curtain Motor — Performance (magnesium alloy),Gadgets,"Smart Curtain Motor in Performance finish. Material: magnesium alloy. Designed for practical, everyday use with improved ergonomics and reliability.",554.64,magnesium alloy,3,0,198.7
294,Generic Brand Digital Photo Frame — Urban (aluminum chassis),Gadgets,"Digital Photo Frame in Urban finish. Material: aluminum chassis. Designed for practical, everyday use with improved ergonomics and reliability.",442.1,aluminum chassis,5,6,258.2
295,Generic Brand Electric Toothbrush — Bold (bioplastic shell),Gadgets,"Electric Toothbrush in Bold finish. Material: bioplastic shell. Designed for practical, everyday use with improved ergonomics and reliability.",226.83,bioplastic shell,3,12,290.2
296,Generic Brand Water Flosser — Heritage (magnesium alloy),Gadgets,"Water Flosser in Heritage finish. Material: magnesium alloy. Designed for practical, everyday use with improved ergonomics and reliability.",874.85,magnesium alloy,3,0,97.3
297,Generic Brand Kitchen Scale — Eco (ABS plastic),Gadgets,"Kitchen Scale in Eco finish. Material: ABS plastic. Designed for practical, everyday use with improved ergonomics and reliability.",674.51,ABS plastic,4,24,213.1
298,Generic Brand Smart Food Thermometer — Eco (recycled aluminum),Gadgets,"Smart Food Thermometer in Eco finish. Material: recycled aluminum. Designed for practical, everyday use with improved ergonomics and reliability.",206.05,recycled aluminum,5,24,79.9
299,Generic Brand Sous Vide Cooker — Classic (stainless steel),Gadgets,"Sous Vide Cooker in Classic finish. Material: stainless steel. Designed for practical, everyday use with improved ergonomics and reliability.",137.0,stainless steel,4,36,95.5
300,Generic Brand Coffee Grinder — Premium (bioplastic shell),Gadgets,"Coffee Grinder in Premium finish. Material: bioplastic shell. Designed for practical, everyday use with improved ergonomics and reliability.",110.09,bioplastic shell,5,24,284.8
301,Generic Brand Milk Frother — Performance (aluminum chassis),Gadgets,"Milk Frother in Performance finish. Material: aluminum chassis. Designed for practical, everyday use with improved ergonomics and reliability.",276.8,aluminum chassis,5,24,64.4
302,Generic Brand Compact Blender — Minimal (magnesium alloy),Gadgets,"Compact Blender in Minimal finish. Material: magnesium alloy. Designed for practical, everyday use with improved ergonomics and reliability.",724.57,magnesium alloy,5,0,171.8
303,Generic Brand Mini Juicer — Heritage (stainless steel),Gadgets,"Mini Juicer in Heritage finish. Material: stainless steel. Designed for practical, everyday use with improved ergonomics and reliability.",447.76,stainless steel,5,36,206.5
304,Generic Brand Handheld Vacuum — Heritage (aluminum chassis),Gadgets,"Handheld Vacuum in Heritage finish. Material: aluminum chassis. Designed for practical, everyday use with improved ergonomics and reliability.",763.73,aluminum chassis,5,24,81.0
305,Generic Brand Steam Iron — Bold (bioplastic shell),Gadgets,"Steam Iron in Bold finish. Material: bioplastic shell. Designed for practical, everyday use with improved ergonomics and reliability.",403.17,bioplastic shell,5,18,260.1
306,Generic Brand Garment Steamer — Heritage (stainless steel),Gadgets,"Garment Steamer in Heritage finish. Material: stainless steel. Designed for practical, everyday use with improved ergonomics and reliability.",127.24,stainless steel,5,12,279.3
307,Generic Brand Laser Measure — Studio (stainless steel),Gadgets,"Laser Measure in Studio finish. Material: stainless steel. Designed for practical, everyday use with improved ergonomics and reliability.",563.98,stainless steel,4,12,188.8
308,Generic Brand Multitool Screwdriver — Soft (recycled aluminum),Gadgets,"Multitool Screwdriver in Soft finish. Material: recycled aluminum. Designed for practical, everyday use with improved ergonomics and reliability.",524.97,recycled aluminum,3,24,129.1
309,Generic Brand Soldering Iron Kit — Soft (aluminum chassis),Gadgets,"Soldering Iron Kit in Soft finish. Material: aluminum chassis. Designed for practical, everyday use with improved ergonomics and reliability.",862.78,aluminum chassis,4,36,276.6
310,Generic Brand Cordless Drill — Soft (ABS plastic),Gadgets,"Cordless Drill in Soft finish. Material: ABS plastic. Designed for practical, everyday use with improved ergonomics and reliability.",417.36,ABS plastic,5,12,276.1
311,Generic Brand Portable Scanner — Bold (aluminum chassis),Gadgets,"Portable Scanner in Bold finish. Material: aluminum chassis. Designed for practical, everyday use with improved ergonomics and reliability.",433.3,aluminum chassis,5,36,138.8
312,Generic Brand Label Maker — Heritage (bioplastic shell),Gadgets,"Label Maker in Heritage finish. Material: bioplastic shell. Designed for practical, everyday use with improved ergonomics and reliability.",35.99,bioplastic shell,5,12,97.3
313,Generic Brand Bike Computer GPS — Minimal (PC+ABS blend),Gadgets,"Bike Computer GPS in Minimal finish. Material: PC+ABS blend. Designed for practical, everyday use with improved ergonomics and reliability.",60.64,PC+ABS blend,3,12,64.0
314,Generic Brand LED Headlamp — Performance (bioplastic shell),Gadgets,"LED Headlamp in Performance finish. Material: bioplastic shell. Designed for practical, everyday use with improved ergonomics and reliability.",113.63,bioplastic shell,3,12,194.6
315,Generic Brand Dash Cam — Studio (magnesium alloy),Gadgets,"Dash Cam in Studio finish. Material: magnesium alloy. Designed for practical, everyday use with improved ergonomics and reliability.",596.55,magnesium alloy,3,36,160.1
316,Generic Brand Car Phone Mount — Bold (recycled aluminum),Gadgets,"Car Phone Mount in Bold finish. Material: recycled aluminum. Designed for practical, everyday use with improved ergonomics and reliability.",435.44,recycled aluminum,5,36,285.5
317,Generic Brand Wireless Charging Pad — Soft (aluminum chassis),Gadgets,"Wireless Charging Pad in Soft finish. Material: aluminum chassis. Designed for practical, everyday use with improved ergonomics and reliability.",179.84,aluminum chassis,4,18,221.8
318,Generic Brand Travel Adapter — Soft (aluminum chassis),Gadgets,"Travel Adapter in Soft finish. Material: aluminum chassis. Designed for practical, everyday use with improved ergonomics and reliability.",485.45,aluminum chassis,5,6,273.1
319,Generic Brand Power Strip Surge — Minimal (stainless steel),Gadgets,"Power Strip Surge in Minimal finish. Material: stainless steel. Designed for practical, everyday use with improved ergonomics and reliability.",632.17,stainless steel,3,18,174.4
320,Generic Brand USB-C Cable Trio — Performance (stainless steel),Gadgets,"USB-C Cable Trio in Performance finish. Material: stainless steel. Designed for practical, everyday use with improved ergonomics and reliability.",159.11,stainless steel,4,12,282.5
321,Generic Brand Smart Garden — Heritage (recycled aluminum),Gadgets,"Smart Garden in Heritage finish. Material: recycled aluminum. Designed for practical, everyday use with improved ergonomics and reliability.",552.0,recycled aluminum,5,6,180.4
322,Generic Brand Mini Dehumidifier — Performance (ABS plastic),Gadgets,"Mini Dehumidifier in Performance finish. Material: ABS plastic. Designed for practical, everyday use with improved ergonomics and reliability.",603.57,ABS plastic,3,0,185.1
323,Generic Brand Compact Air Purifier — Bold (PC+ABS blend),Gadgets,"Compact Air Purifier in Bold finish. Material: PC+ABS blend. Designed for practical, everyday use with improved ergonomics and reliability.",339.49,PC+ABS blend,3,36,81.1
324,Generic Brand Solar Power Bank — Eco (bioplastic shell),Gadgets,"Solar Power Bank in Eco finish. Material: bioplastic shell. Designed for practical, everyday use with improved ergonomics and reliability.",797.26,bioplastic shell,3,36,286.4
325,Generic Brand Desk Fan USB — Premium (PC+ABS blend),Gadgets,"Desk Fan USB in Premium finish. Material: PC+ABS blend. Designed for practical, everyday use with improved ergonomics and reliability.",109.34,PC+ABS blend,5,6,55.9
326,Generic Brand Portable Induction Cooktop — Bold (ABS plastic),Gadgets,"Portable Induction Cooktop in Bold finish. Material: ABS plastic. Designed for practical, everyday use with improved ergonomics and reliability.",569.91,ABS plastic,5,24,209.8
327,Generic Brand Smart Diffuser — Heritage (stainless steel),Gadgets,"Smart Diffuser in Heritage finish. Material: stainless steel. Designed for practical, everyday use with improved ergonomics and reliability.",440.28,stainless steel,5,12,68.0
328,Generic Brand Smart Kettle — Bold (bioplastic shell),Gadgets,"Smart Kettle in Bold finish. Material: bioplastic shell. Designed for practical, everyday use with improved ergonomics and reliability.",337.55,bioplastic shell,3,12,219.8
329,Generic Brand Electric Hair Trimmer — Urban (recycled aluminum),Gadgets,"Electric Hair Trimmer in Urban finish. Material: recycled aluminum. Designed for practical, everyday use with improved ergonomics and reliability.",400.02,recycled aluminum,5,12,77.7
330,Generic Brand Ionic Hair Dryer — Minimal (bioplastic shell),Gadgets,"Ionic Hair Dryer in Minimal finish. Material: bioplastic shell. Designed for practical, everyday use with improved ergonomics and reliability.",228.14,bioplastic shell,5,12,138.7
331,Generic Brand Curling Iron Wand — Bold (magnesium alloy),Gadgets,"Curling Iron Wand in Bold finish. Material: magnesium alloy. Designed for practical, everyday use with improved ergonomics and reliability.",300.06,magnesium alloy,3,12,191.1
332,Generic Brand Hair Straightener — Performance (PC+ABS blend),Gadgets,"Hair Straightener in Performance finish. Material: PC+ABS blend. Designed for practical, everyday use with improved ergonomics and reliability.",534.98,PC+ABS blend,5,36,253.0
333,Generic Brand Beard Grooming Kit — Studio (magnesium alloy),Gadgets,"Beard Grooming Kit in Studio finish. Material: magnesium alloy. Designed for practical, everyday use with improved ergonomics and reliability.",894.69,magnesium alloy,3,0,193.6
334,Generic Brand Bluetooth Speaker — Minimal (stainless steel),Gadgets,Variant of Bluetooth Speaker with gloss aesthetic. Material: stainless steel. Tuned for efficiency and longevity; upgraded components and finish.,490.7,stainless steel,4,24,231.5
335,Generic Brand Smart Home Hub — Premium (stainless steel),Gadgets,Variant of Smart Home Hub with matte aesthetic. Material: stainless steel. Tuned for efficiency and longevity; upgraded components and finish.,769.96,stainless steel,3,0,178.7
336,Generic Brand Wi-Fi Mesh Router — Soft (magnesium alloy),Gadgets,Variant of Wi-Fi Mesh Router with brushed aesthetic. Material: magnesium alloy. Tuned for efficiency and longevity; upgraded components and finish.,102.5,magnesium alloy,3,6,60.7
337,Generic Brand USB-C Power Bank — Urban (ABS plastic),Gadgets,Variant of USB-C Power Bank with textured aesthetic. Material: ABS plastic. Tuned for efficiency and longevity; upgraded components and finish.,715.57,ABS plastic,3,6,84.0
338,Generic Brand External SSD — Soft (ABS plastic),Gadgets,Variant of External SSD with brushed aesthetic. Material: ABS plastic. Tuned for efficiency and longevity; upgraded components and finish.,114.1,ABS plastic,5,36,173.8
339,Generic Brand Thermal Label Printer — Studio (PC+ABS blend),Gadgets,Variant of Thermal Label Printer with gloss aesthetic. Material: PC+ABS blend. Tuned for efficiency and longevity; upgraded components and finish.,723.97,PC+ABS blend,5,24,53.9
340,Generic Brand USB-C Docking Hub — Classic (PC+ABS blend),Gadgets,Variant of USB-C Docking Hub with brushed aesthetic. Material: PC+ABS blend. Tuned for efficiency and longevity; upgraded components and finish.,354.71,PC+ABS blend,5,12,234.4
341,Generic Brand Mechanical Keyboard — Minimal (aluminum chassis),Gadgets,Variant of Mechanical Keyboard with gloss aesthetic. Material: aluminum chassis. Tuned for efficiency and longevity; upgraded components and finish.,625.1,aluminum chassis,3,6,299.2
342,Generic Brand Ergonomic Mouse — Performance (stainless steel),Gadgets,Variant of Ergonomic Mouse with natural aesthetic. Material: stainless steel. Tuned for efficiency and longevity; upgraded components and finish.,726.39,stainless steel,4,6,268.3
343,Generic Brand HD Webcam — Performance (bioplastic shell),Gadgets,Variant of HD Webcam with textured aesthetic. Material: bioplastic shell. Tuned for efficiency and longevity; upgraded components and finish.,468.03,bioplastic shell,4,18,105.9
344,Generic Brand USB Studio Microphone — Soft (aluminum chassis),Gadgets,Variant of USB Studio Microphone with textured aesthetic. Material: aluminum chassis. Tuned for efficiency and longevity; upgraded components and finish.,154.58,aluminum chassis,3,18,250.2
345,Generic Brand Ring Light — Classic (magnesium alloy),Gadgets,Variant of Ring Light with brushed aesthetic. Material: magnesium alloy. Tuned for efficiency and longevity; upgraded components and finish.,597.56,magnesium alloy,3,0,230.5
346,Generic Brand Monitor Light Bar — Minimal (bioplastic shell),Gadgets,Variant of Monitor Light Bar with brushed aesthetic. Material: bioplastic shell. Tuned for efficiency and longevity; upgraded components and finish.,107.99,bioplastic shell,5,12,242.3
347,Generic Brand Indoor Security Camera — Heritage (bioplastic shell),Gadgets,Variant of Indoor Security Camera with matte aesthetic. Material: bioplastic shell. Tuned for efficiency and longevity; upgraded components and finish.,364.0,bioplastic shell,4,6,216.5
348,Generic Brand Smart Thermostat — Classic (bioplastic shell),Gadgets,Variant of Smart Thermostat with textured aesthetic. Material: bioplastic shell. Tuned for efficiency and longevity; upgraded components and finish.,527.49,bioplastic shell,5,36,56.7
349,Generic Brand Video Doorbell — Urban (ABS plastic),Gadgets,Variant of Video Doorbell with brushed aesthetic. Material: ABS plastic. Tuned for efficiency and longevity; upgraded components and finish.,827.5,ABS plastic,4,36,286.3
350,Generic Brand Smart Lock — Bold (recycled aluminum),Gadgets,Variant of Smart Lock with textured aesthetic. Material: recycled aluminum. Tuned for efficiency and longevity; upgraded components and finish.,182.4,recycled aluminum,5,6,122.1
351,Generic Brand Smart Plug Set — Performance (aluminum chassis),Gadgets,Variant of Smart Plug Set with textured aesthetic. Material: aluminum chassis. Tuned for efficiency and longevity; upgraded components and finish.,621.73,aluminum chassis,3,24,162.2
352,Generic Brand Smart LED Bulbs — Urban (recycled aluminum),Gadgets,Variant of Smart LED Bulbs with brushed aesthetic. Material: recycled aluminum. Tuned for efficiency and longevity; upgraded components and finish.,435.22,recycled aluminum,4,36,298.8
353,Generic Brand Smart Curtain Motor — Heritage (stainless steel),Gadgets,Variant of Smart Curtain Motor with natural aesthetic. Material: stainless steel. Tuned for efficiency and longevity; upgraded components and finish.,400.27,stainless steel,5,0,122.1
354,Generic Brand Digital Photo Frame — Heritage (aluminum chassis),Gadgets,Variant of Digital Photo Frame with matte aesthetic. Material: aluminum chassis. Tuned for efficiency and longevity; upgraded components and finish.,569.97,aluminum chassis,5,6,153.6
355,Generic Brand Electric Toothbrush — Urban (magnesium alloy),Gadgets,Variant of Electric Toothbrush with natural aesthetic. Material: magnesium alloy. Tuned for efficiency and longevity; upgraded components and finish.,78.04,magnesium alloy,3,12,241.3
356,Generic Brand Water Flosser — Heritage (recycled aluminum),Gadgets,Variant of Water Flosser with matte aesthetic. Material: recycled aluminum. Tuned for efficiency and longevity; upgraded components and finish.,512.88,recycled aluminum,3,12,119.4
357,Generic Brand Kitchen Scale — Performance (PC+ABS blend),Gadgets,Variant of Kitchen Scale with brushed aesthetic. Material: PC+ABS blend. Tuned for efficiency and longevity; upgraded components and finish.,30.28,PC+ABS blend,3,36,69.6
358,Generic Brand Smart Food Thermometer — Eco (ABS plastic),Gadgets,Variant of Smart Food Thermometer with brushed aesthetic. Material: ABS plastic. Tuned for efficiency and longevity; upgraded components and finish.,864.04,ABS plastic,5,18,257.8
359,Generic Brand Sous Vide Cooker — Heritage (stainless steel),Gadgets,Variant of Sous Vide Cooker with brushed aesthetic. Material: stainless steel. Tuned for efficiency and longevity; upgraded components and finish.,754.82,stainless steel,5,18,181.9
360,Generic Brand Coffee Grinder — Performance (stainless steel),Gadgets,Variant of Coffee Grinder with gloss aesthetic. Material: stainless steel. Tuned for efficiency and longevity; upgraded components and finish.,244.07,stainless steel,3,0,136.0
361,Generic Brand Milk Frother — Bold (bioplastic shell),Gadgets,Variant of Milk Frother with matte aesthetic. Material: bioplastic shell. Tuned for efficiency and longevity; upgraded components and finish.,44.02,bioplastic shell,4,24,244.7
362,Generic Brand Compact Blender — Bold (aluminum chassis),Gadgets,Variant of Compact Blender with matte aesthetic. Material: aluminum chassis. Tuned for efficiency and longevity; upgraded components and finish.,57.78,aluminum chassis,5,6,55.4
363,Generic Brand Mini Juicer — Urban (bioplastic shell),Gadgets,Variant of Mini Juicer with natural aesthetic. Material: bioplastic shell. Tuned for efficiency and longevity; upgraded components and finish.,587.41,bioplastic shell,3,36,160.4
364,Generic Brand Handheld Vacuum — Premium (PC+ABS blend),Gadgets,Variant of Handheld Vacuum with matte aesthetic. Material: PC+ABS blend. Tuned for efficiency and longevity; upgraded components and finish.,128.54,PC+ABS blend,5,24,221.3
365,Generic Brand Steam Iron — Soft (magnesium alloy),Gadgets,Variant of Steam Iron with textured aesthetic. Material: magnesium alloy. Tuned for efficiency and longevity; upgraded components and finish.,592.73,magnesium alloy,5,0,139.6
366,Generic Brand Garment Steamer — Classic (PC+ABS blend),Gadgets,Variant of Garment Steamer with natural aesthetic. Material: PC+ABS blend. Tuned for efficiency and longevity; upgraded components and finish.,698.01,PC+ABS blend,5,24,248.8
367,Generic Brand Laser Measure — Minimal (stainless steel),Gadgets,Variant of Laser Measure with gloss aesthetic. Material: stainless steel. Tuned for efficiency and longevity; upgraded components and finish.,276.42,stainless steel,3,36,133.0
368,Generic Brand Multitool Screwdriver — Minimal (magnesium alloy),Gadgets,Variant of Multitool Screwdriver with natural aesthetic. Material: magnesium alloy. Tuned for efficiency and longevity; upgraded components and finish.,730.36,magnesium alloy,4,6,297.9
369,Generic Brand Soldering Iron Kit — Minimal (PC+ABS blend),Gadgets,Variant of Soldering Iron Kit with matte aesthetic. Material: PC+ABS blend. Tuned for efficiency and longevity; upgraded components and finish.,711.64,PC+ABS blend,3,18,144.6
370,Generic Brand Cordless Drill — Minimal (PC+ABS blend),Gadgets,Variant of Cordless Drill with textured aesthetic. Material: PC+ABS blend. Tuned for efficiency and longevity; upgraded components and finish.,769.31,PC+ABS blend,5,18,56.1
371,Generic Brand Portable Scanner — Classic (ABS plastic),Gadgets,Variant of Portable Scanner with matte aesthetic. Material: ABS plastic. Tuned for efficiency and longevity; upgraded components and finish.,592.89,ABS plastic,3,12,272.8
372,Generic Brand Label Maker — Classic (magnesium alloy),Gadgets,Variant of Label Maker with brushed aesthetic. Material: magnesium alloy. Tuned for efficiency and longevity; upgraded components and finish.,701.66,magnesium alloy,3,0,132.0
373,Generic Brand Bike Computer GPS — Minimal (bioplastic shell),Gadgets,Variant of Bike Computer GPS with brushed aesthetic. Material: bioplastic shell. Tuned for efficiency and longevity; upgraded components and finish.,414.43,bioplastic shell,5,12,114.9
374,Generic Brand LED Headlamp — Bold (stainless steel),Gadgets,Variant of LED Headlamp with matte aesthetic. Material: stainless steel. Tuned for efficiency and longevity; upgraded components and finish.,659.84,stainless steel,5,18,84.1
375,Generic Brand Dash Cam — Minimal (magnesium alloy),Gadgets,Variant of Dash Cam with natural aesthetic. Material: magnesium alloy. Tuned for efficiency and longevity; upgraded components and finish.,140.85,magnesium alloy,3,36,82.1
376,Generic Brand Car Phone Mount — Eco (aluminum chassis),Gadgets,Variant of Car Phone Mount with brushed aesthetic. Material: aluminum chassis. Tuned for efficiency and longevity; upgraded components and finish.,535.44,aluminum chassis,3,6,113.8
377,Generic Brand Wireless Charging Pad — Eco (bioplastic shell),Gadgets,Variant of Wireless Charging Pad with brushed aesthetic. Material: bioplastic shell. Tuned for efficiency and longevity; upgraded components and finish.,320.57,bioplastic shell,5,36,117.3
378,Generic Brand Travel Adapter — Studio (bioplastic shell),Gadgets,Variant of Travel Adapter with matte aesthetic. Material: bioplastic shell. Tuned for efficiency and longevity; upgraded components and finish.,544.59,bioplastic shell,4,18,125.6
379,Generic Brand Power Strip Surge — Eco (stainless steel),Gadgets,Variant of Power Strip Surge with brushed aesthetic. Material: stainless steel. Tuned for efficiency and longevity; upgraded components and finish.,474.04,stainless steel,3,6,253.1
380,Generic Brand USB-C Cable Trio — Performance (magnesium alloy),Gadgets,Variant of USB-C Cable Trio with matte aesthetic. Material: magnesium alloy. Tuned for efficiency and longevity; upgraded components and finish.,131.32,magnesium alloy,4,12,199.2
381,Generic Brand Smart Garden — Studio (bioplastic shell),Gadgets,Variant of Smart Garden with brushed aesthetic. Material: bioplastic shell. Tuned for efficiency and longevity; upgraded components and finish.,728.27,bioplastic shell,4,18,288.5
382,Generic Brand Mini Dehumidifier — Soft (ABS plastic),Gadgets,Variant of Mini Dehumidifier with textured aesthetic. Material: ABS plastic. Tuned for efficiency and longevity; upgraded components and finish.,690.11,ABS plastic,4,24,210.0
383,Generic Brand Compact Air Purifier — Performance (stainless steel),Gadgets,Variant of Compact Air Purifier with matte aesthetic. Material: stainless steel. Tuned for efficiency and longevity; upgraded components and finish.,624.17,stainless steel,4,36,105.4
384,Generic Brand Solar Power Bank — Eco (stainless steel),Gadgets,Variant of Solar Power Bank with brushed aesthetic. Material: stainless steel. Tuned for efficiency and longevity; upgraded components and finish.,31.61,stainless steel,5,12,71.4
385,Generic Brand Desk Fan USB — Soft (stainless steel),Gadgets,Variant of Desk Fan USB with gloss aesthetic. Material: stainless steel. Tuned for efficiency and longevity; upgraded components and finish.,834.42,stainless steel,5,18,255.2
386,Generic Brand Portable Induction Cooktop — Urban (magnesium alloy),Gadgets,Variant of Portable Induction Cooktop with matte aesthetic. Material: magnesium alloy. Tuned for efficiency and longevity; upgraded components and finish.,240.87,magnesium alloy,3,6,200.2
387,Generic Brand Smart Diffuser — Minimal (magnesium alloy),Gadgets,Variant of Smart Diffuser with textured aesthetic. Material: magnesium alloy. Tuned for efficiency and longevity; upgraded components and finish.,706.75,magnesium alloy,5,36,109.6
388,Generic Brand Smart Kettle — Classic (aluminum chassis),Gadgets,Variant of Smart Kettle with brushed aesthetic. Material: aluminum chassis. Tuned for efficiency and longevity; upgraded components and finish.,413.55,aluminum chassis,5,12,58.2
389,Generic Brand Electric Hair Trimmer — Soft (magnesium alloy),Gadgets,Variant of Electric Hair Trimmer with brushed aesthetic. Material: magnesium alloy. Tuned for efficiency and longevity; upgraded components and finish.,695.68,magnesium alloy,3,6,262.4
390,Generic Brand Ionic Hair Dryer — Studio (bioplastic shell),Gadgets,Variant of Ionic Hair Dryer with brushed aesthetic. Material: bioplastic shell. Tuned for efficiency and longevity; upgraded components and finish.,646.76,bioplastic shell,5,12,122.1
391,Generic Brand Curling Iron Wand — Premium (recycled aluminum),Gadgets,Variant of Curling Iron Wand with gloss aesthetic. Material: recycled aluminum. Tuned for efficiency and longevity; upgraded components and finish.,102.26,recycled aluminum,5,12,52.7
392,Generic Brand Hair Straightener — Soft (recycled aluminum),Gadgets,Variant of Hair Straightener with textured aesthetic. Material: recycled aluminum. Tuned for efficiency and longevity; upgraded components and finish.,212.15,recycled aluminum,5,0,243.9
393,Generic Brand Beard Grooming Kit — Premium (recycled aluminum),Gadgets,Variant of Beard Grooming Kit with natural aesthetic. Material: recycled aluminum. Tuned for efficiency and longevity; upgraded components and finish.,515.07,recycled aluminum,5,0,219.6
394,Generic Brand Photo Lightbox — Minimal (magnesium alloy),Gadgets,Variant of Photo Lightbox with brushed aesthetic. Material: magnesium alloy. Tuned for efficiency and longevity; upgraded components and finish.,540.8,magnesium alloy,4,36,223.3
395,Generic Brand Action Camera 4K — Premium (aluminum chassis),Gadgets,Variant of Action Camera 4K with matte aesthetic. Material: aluminum chassis. Tuned for efficiency and longevity; upgraded components and finish.,898.18,aluminum chassis,3,24,170.1
